"","Ehf","Irf_11","Irf_7","Maf_2","NF-kappaB_2","NF-kappaB_5","NF-Y_1","NF-Y_2","NF-Y_3","Nrf-2_2","Nrf-2_3","TCF11::MafG"
"266","ENSG00000121454","ENSG00000124788","","ENSG00000147044","ENSG00000146197","ENSG00000144229","ENSG00000122043","ENSG00000141448","ENSG00000089116","ENSG00000126368","ENSG00000130643",""
"267","ENSG00000121988","ENSG00000124882","","ENSG00000147099","ENSG00000146232","ENSG00000144524","ENSG00000122390","ENSG00000141504","ENSG00000089157","ENSG00000126562","ENSG00000130706",""
"268","ENSG00000121989","ENSG00000125037","","ENSG00000147138","ENSG00000147010","ENSG00000144802","ENSG00000122482","ENSG00000141562","ENSG00000089177","ENSG00000126861","ENSG00000130707",""
"269","ENSG00000122417","ENSG00000125148","","ENSG00000148702","ENSG00000148444","ENSG00000145526","ENSG00000122705","ENSG00000141664","ENSG00000089220","ENSG00000127022","ENSG00000130779",""
"270","ENSG00000122705","ENSG00000125245","","ENSG00000149397","ENSG00000148730","ENSG00000145819","ENSG00000122859","ENSG00000142619","ENSG00000089737","ENSG00000127083","ENSG00000130940",""
"271","ENSG00000122735","ENSG00000125246","","ENSG00000149489","ENSG00000149781","ENSG00000145901","ENSG00000123473","ENSG00000143178","ENSG00000089820","ENSG00000127603","ENSG00000131044",""
"272","ENSG00000123154","ENSG00000125675","","ENSG00000149499","ENSG00000150048","ENSG00000145907","ENSG00000123636","ENSG00000143194","ENSG00000089902","ENSG00000128254","ENSG00000131188",""
"273","ENSG00000123395","ENSG00000125844","","ENSG00000149925","ENSG00000150764","ENSG00000145911","ENSG00000123975","ENSG00000143258","ENSG00000090006","ENSG00000128591","ENSG00000131375",""
"274","ENSG00000123473","ENSG00000125864","","ENSG00000150054","ENSG00000151151","ENSG00000145996","ENSG00000124003","ENSG00000143603","ENSG00000090061","ENSG00000129152","ENSG00000131435",""
"275","ENSG00000124120","ENSG00000125878","","ENSG00000150510","ENSG00000151322","ENSG00000146282","ENSG00000124172","ENSG00000143933","ENSG00000090238","ENSG00000129194","ENSG00000131697",""
"276","ENSG00000124151","ENSG00000126561","","ENSG00000150672","ENSG00000151468","ENSG00000146383","ENSG00000124177","ENSG00000143971","ENSG00000090273","ENSG00000129437","ENSG00000131725",""
"277","ENSG00000124155","ENSG00000126778","","ENSG00000150722","ENSG00000151651","ENSG00000147010","ENSG00000124575","ENSG00000144218","ENSG00000090316","ENSG00000130032","ENSG00000132170",""
"278","ENSG00000124177","ENSG00000127083","","ENSG00000150961","ENSG00000151702","ENSG00000148204","ENSG00000124596","ENSG00000144229","ENSG00000090924","ENSG00000130193","ENSG00000132341",""
"279","ENSG00000124217","ENSG00000127329","","ENSG00000151006","ENSG00000151883","ENSG00000148344","ENSG00000124795","ENSG00000144339","ENSG00000090975","ENSG00000130349","ENSG00000132510",""
"280","ENSG00000124380","ENSG00000127481","","ENSG00000151067","ENSG00000152556","ENSG00000148730","ENSG00000125703","ENSG00000145088","ENSG00000091527","ENSG00000130706","ENSG00000132541",""
"281","ENSG00000124496","ENSG00000128340","","ENSG00000151136","ENSG00000153310","ENSG00000148737","ENSG00000125740","ENSG00000145284","ENSG00000091640","ENSG00000130829","ENSG00000132823",""
"282","ENSG00000124688","ENSG00000129675","","ENSG00000151612","ENSG00000153561","ENSG00000149292","ENSG00000125885","ENSG00000145335","ENSG00000091651","ENSG00000130940","ENSG00000132879",""
"283","ENSG00000124786","ENSG00000130303","","ENSG00000151914","ENSG00000155090","ENSG00000150893","ENSG00000125898","ENSG00000145526","ENSG00000092098","ENSG00000131149","ENSG00000133048",""
"284","ENSG00000125347","ENSG00000130592","","ENSG00000151917","ENSG00000155096","ENSG00000151320","ENSG00000126001","ENSG00000145882","ENSG00000092199","ENSG00000131188","ENSG00000133069",""
"285","ENSG00000125482","ENSG00000130707","","ENSG00000151923","ENSG00000155849","ENSG00000151468","ENSG00000126464","ENSG00000146047","ENSG00000092200","ENSG00000131435","ENSG00000133083",""
"286","ENSG00000125651","ENSG00000130723","","ENSG00000151929","ENSG00000155903","ENSG00000151474","ENSG00000126767","ENSG00000146278","ENSG00000092330","ENSG00000131738","ENSG00000133216",""
"287","ENSG00000125703","ENSG00000130940","","ENSG00000152214","ENSG00000156030","ENSG00000151623","ENSG00000126778","ENSG00000146592","ENSG00000092607","ENSG00000131778","ENSG00000134207",""
"288","ENSG00000125755","ENSG00000131018","","ENSG00000152661","ENSG00000156427","ENSG00000151883","ENSG00000126945","ENSG00000146872","ENSG00000092841","ENSG00000131808","ENSG00000134278",""
"289","ENSG00000125954","ENSG00000131051","","ENSG00000152766","ENSG00000156508","ENSG00000152689","ENSG00000127124","ENSG00000147130","ENSG00000092847","ENSG00000131831","ENSG00000134376",""
"290","ENSG00000125995","ENSG00000131188","","ENSG00000153060","ENSG00000156860","ENSG00000153234","ENSG00000127311","ENSG00000147155","ENSG00000092931","ENSG00000132341","ENSG00000134470",""
"291","ENSG00000126368","ENSG00000131203","","ENSG00000153130","ENSG00000157168","ENSG00000154645","ENSG00000127603","ENSG00000147257","ENSG00000093100","ENSG00000132475","ENSG00000134760",""
"292","ENSG00000126432","ENSG00000131503","","ENSG00000153233","ENSG00000158050","ENSG00000154928","ENSG00000127688","ENSG00000147654","ENSG00000094804","ENSG00000132541","ENSG00000134882",""
"293","ENSG00000126746","ENSG00000131507","","ENSG00000153250","ENSG00000158089","ENSG00000155846","ENSG00000127774","ENSG00000148082","ENSG00000094880","ENSG00000132692","ENSG00000134917",""
"294","ENSG00000126821","ENSG00000131773","","ENSG00000153814","ENSG00000158156","ENSG00000156508","ENSG00000127914","ENSG00000148339","ENSG00000094916","ENSG00000132792","ENSG00000135063",""
"295","ENSG00000127311","ENSG00000132109","","ENSG00000153815","ENSG00000158315","ENSG00000156639","ENSG00000128626","ENSG00000148498","ENSG00000094975","ENSG00000132879","ENSG00000135373",""
"296","ENSG00000127419","ENSG00000132155","","ENSG00000153904","ENSG00000158321","ENSG00000156858","ENSG00000128928","ENSG00000148655","ENSG00000095370","ENSG00000132938","ENSG00000135406",""
"297","ENSG00000127452","ENSG00000132256","","ENSG00000153956","ENSG00000158480","ENSG00000156973","ENSG00000128965","ENSG00000148702","ENSG00000095383","ENSG00000133055","ENSG00000135597",""
"298","ENSG00000127870","ENSG00000132274","","ENSG00000154478","ENSG00000158796","ENSG00000157087","ENSG00000129197","ENSG00000148841","ENSG00000095637","ENSG00000133069","ENSG00000135636",""
"299","ENSG00000128340","ENSG00000132535","","ENSG00000155897","ENSG00000158816","ENSG00000157111","ENSG00000129245","ENSG00000149084","ENSG00000095739","ENSG00000133216","ENSG00000135749",""
"300","ENSG00000128346","ENSG00000132792","","ENSG00000155961","ENSG00000158859","ENSG00000157500","ENSG00000129355","ENSG00000149212","ENSG00000095906","ENSG00000133318","ENSG00000135862",""
"301","ENSG00000128815","ENSG00000132849","","ENSG00000156030","ENSG00000158864","ENSG00000157514","ENSG00000129422","ENSG00000150281","ENSG00000095917","ENSG00000133511","ENSG00000135905",""
"302","ENSG00000128829","ENSG00000133106","","ENSG00000156273","ENSG00000158887","ENSG00000157551","ENSG00000129535","ENSG00000150672","ENSG00000096070","ENSG00000134207","ENSG00000135999",""
"303","ENSG00000128908","ENSG00000133226","","ENSG00000156860","ENSG00000158966","ENSG00000157617","ENSG00000130159","ENSG00000151150","ENSG00000096088","ENSG00000134259","ENSG00000136104",""
"304","ENSG00000129282","ENSG00000133321","","ENSG00000157077","ENSG00000159063","ENSG00000157890","ENSG00000130204","ENSG00000151414","ENSG00000099282","ENSG00000134278","ENSG00000136153",""
"305","ENSG00000129315","ENSG00000134138","","ENSG00000157110","ENSG00000159618","ENSG00000158156","ENSG00000130758","ENSG00000151422","ENSG00000099381","ENSG00000134440","ENSG00000136155",""
"306","ENSG00000129317","ENSG00000134215","","ENSG00000157119","ENSG00000160271","ENSG00000158636","ENSG00000130766","ENSG00000151790","ENSG00000099622","ENSG00000134470","ENSG00000136167",""
"307","ENSG00000129559","ENSG00000134243","","ENSG00000157540","ENSG00000160685","ENSG00000158710","ENSG00000130921","ENSG00000152422","ENSG00000099821","ENSG00000134760","ENSG00000136244",""
"308","ENSG00000129636","ENSG00000134287","","ENSG00000157551","ENSG00000160691","ENSG00000158714","ENSG00000130940","ENSG00000152430","ENSG00000099849","ENSG00000134864","ENSG00000136688",""
"309","ENSG00000129682","ENSG00000134321","","ENSG00000157557","ENSG00000160789","ENSG00000158815","ENSG00000131018","ENSG00000152669","ENSG00000099889","ENSG00000134874","ENSG00000136731",""
"310","ENSG00000130119","ENSG00000134363","","ENSG00000158055","ENSG00000161011","ENSG00000158859","ENSG00000131470","ENSG00000152670","ENSG00000099942","ENSG00000134917","ENSG00000136931",""
"311","ENSG00000130311","ENSG00000134470","","ENSG00000159023","ENSG00000161031","ENSG00000158864","ENSG00000131759","ENSG00000152749","ENSG00000099958","ENSG00000135046","ENSG00000137055",""
"312","ENSG00000130363","ENSG00000134508","","ENSG00000159200","ENSG00000161405","ENSG00000158966","ENSG00000131914","ENSG00000152782","ENSG00000099968","ENSG00000135063","ENSG00000137161",""
"313","ENSG00000130545","ENSG00000134531","","ENSG00000159216","ENSG00000161638","ENSG00000159164","ENSG00000132003","ENSG00000153130","ENSG00000099974","ENSG00000135334","ENSG00000137166",""
"314","ENSG00000130717","ENSG00000134532","","ENSG00000159618","ENSG00000161921","ENSG00000160271","ENSG00000132130","ENSG00000153707","ENSG00000099977","ENSG00000135373","ENSG00000137200",""
"315","ENSG00000131148","ENSG00000134744","","ENSG00000160593","ENSG00000161940","ENSG00000160683","ENSG00000132170","ENSG00000154146","ENSG00000099985","ENSG00000135406","ENSG00000137251",""
"316","ENSG00000131171","ENSG00000134986","","ENSG00000160679","ENSG00000162434","ENSG00000160801","ENSG00000132207","ENSG00000154165","ENSG00000099991","ENSG00000135473","ENSG00000137267",""
"317","ENSG00000131351","ENSG00000135048","","ENSG00000160688","ENSG00000162552","ENSG00000161405","ENSG00000132471","ENSG00000155368","ENSG00000099992","ENSG00000135519","ENSG00000137309",""
"318","ENSG00000131503","ENSG00000135540","","ENSG00000160746","ENSG00000162687","ENSG00000161638","ENSG00000132475","ENSG00000155506","ENSG00000100023","ENSG00000135537","ENSG00000137449",""
"319","ENSG00000131586","ENSG00000135547","","ENSG00000161011","ENSG00000162694","ENSG00000161940","ENSG00000132780","ENSG00000155660","ENSG00000100024","ENSG00000135862","ENSG00000137843",""
"320","ENSG00000132016","ENSG00000135697","","ENSG00000161326","ENSG00000162695","ENSG00000161955","ENSG00000133065","ENSG00000155744","ENSG00000100027","ENSG00000135905","ENSG00000137941",""
"321","ENSG00000132024","ENSG00000135828","","ENSG00000161638","ENSG00000162706","ENSG00000162591","ENSG00000133101","ENSG00000155749","ENSG00000100033","ENSG00000135926","ENSG00000138029",""
"322","ENSG00000132466","ENSG00000135837","","ENSG00000161813","ENSG00000162738","ENSG00000162692","ENSG00000133124","ENSG00000156017","ENSG00000100075","ENSG00000135930","ENSG00000138092",""
"323","ENSG00000132549","ENSG00000135903","","ENSG00000161958","ENSG00000162755","ENSG00000162734","ENSG00000133226","ENSG00000156026","ENSG00000100078","ENSG00000135932","ENSG00000138100",""
"324","ENSG00000132581","ENSG00000135905","","ENSG00000162188","ENSG00000162878","ENSG00000162738","ENSG00000133422","ENSG00000156232","ENSG00000100095","ENSG00000136111","ENSG00000138193",""
"325","ENSG00000132635","ENSG00000135999","","ENSG00000162402","ENSG00000162889","ENSG00000162777","ENSG00000133460","ENSG00000156256","ENSG00000100097","ENSG00000136155","ENSG00000138279",""
"326","ENSG00000132768","ENSG00000136040","","ENSG00000162522","ENSG00000162924","ENSG00000162888","ENSG00000133466","ENSG00000156269","ENSG00000100100","ENSG00000136156","ENSG00000138356",""
"327","ENSG00000132780","ENSG00000136051","","ENSG00000162551","ENSG00000163132","ENSG00000162889","ENSG00000133935","ENSG00000156282","ENSG00000100116","ENSG00000136244","ENSG00000138449",""
"328","ENSG00000132793","ENSG00000136153","","ENSG00000162688","ENSG00000163145","ENSG00000162924","ENSG00000134186","ENSG00000156475","ENSG00000100141","ENSG00000136531","ENSG00000138593",""
"329","ENSG00000132849","ENSG00000136237","","ENSG00000162746","ENSG00000163239","ENSG00000163029","ENSG00000134243","ENSG00000156521","ENSG00000100147","ENSG00000136688","ENSG00000139112",""
"330","ENSG00000133195","ENSG00000136573","","ENSG00000162777","ENSG00000163249","ENSG00000163131","ENSG00000134317","ENSG00000156599","ENSG00000100162","ENSG00000136731","ENSG00000139117",""
"331","ENSG00000133302","ENSG00000136630","","ENSG00000163207","ENSG00000163435","ENSG00000163132","ENSG00000134318","ENSG00000156650","ENSG00000100209","ENSG00000136931","ENSG00000139278",""
"332","ENSG00000133789","ENSG00000136731","","ENSG00000163281","ENSG00000163734","ENSG00000163320","ENSG00000134684","ENSG00000156802","ENSG00000100227","ENSG00000137055","ENSG00000139610",""
"333","ENSG00000133816","ENSG00000136816","","ENSG00000163352","ENSG00000163735","ENSG00000163374","ENSG00000134686","ENSG00000157193","ENSG00000100242","ENSG00000137076","ENSG00000139656",""
"334","ENSG00000133985","ENSG00000136874","","ENSG00000163491","ENSG00000163739","ENSG00000163485","ENSG00000134709","ENSG00000157216","ENSG00000100297","ENSG00000137135","ENSG00000140022",""
"335","ENSG00000134001","ENSG00000136938","","ENSG00000163499","ENSG00000163932","ENSG00000163705","ENSG00000134779","ENSG00000157456","ENSG00000100302","ENSG00000137161","ENSG00000140090",""
"336","ENSG00000134138","ENSG00000136960","","ENSG00000163554","ENSG00000164287","ENSG00000163734","ENSG00000134809","ENSG00000157514","ENSG00000100312","ENSG00000137309","ENSG00000140660",""
"337","ENSG00000134153","ENSG00000137077","","ENSG00000163606","ENSG00000164690","ENSG00000163735","ENSG00000134900","ENSG00000158055","ENSG00000100347","ENSG00000137337","ENSG00000140848",""
"338","ENSG00000134440","ENSG00000137145","","ENSG00000163735","ENSG00000165097","ENSG00000163739","ENSG00000135048","ENSG00000159023","ENSG00000100354","ENSG00000137413","ENSG00000140905",""
"339","ENSG00000134489","ENSG00000137203","","ENSG00000163833","ENSG00000165169","ENSG00000163932","ENSG00000135336","ENSG00000159184","ENSG00000100360","ENSG00000137449","ENSG00000140961",""
"340","ENSG00000134809","ENSG00000137221","","ENSG00000163914","ENSG00000165282","ENSG00000164236","ENSG00000135373","ENSG00000159199","ENSG00000100372","ENSG00000137674","ENSG00000141052",""
"341","ENSG00000134884","ENSG00000137628","","ENSG00000164125","ENSG00000165548","ENSG00000164924","ENSG00000135390","ENSG00000159208","ENSG00000100376","ENSG00000137776","ENSG00000142657",""
"342","ENSG00000135341","ENSG00000137801","","ENSG00000164220","ENSG00000165801","ENSG00000165084","ENSG00000135423","ENSG00000159399","ENSG00000100387","ENSG00000137936","ENSG00000142856",""
"343","ENSG00000135365","ENSG00000137845","","ENSG00000164399","ENSG00000166173","ENSG00000165097","ENSG00000135476","ENSG00000159479","ENSG00000100410","ENSG00000137976","ENSG00000143106",""
"344","ENSG00000135930","ENSG00000137872","","ENSG00000164440","ENSG00000166188","ENSG00000165186","ENSG00000135486","ENSG00000159842","ENSG00000100412","ENSG00000138092","ENSG00000143153",""
"345","ENSG00000135940","ENSG00000137878","","ENSG00000164692","ENSG00000166225","ENSG00000165548","ENSG00000135506","ENSG00000160094","ENSG00000100461","ENSG00000138101","ENSG00000143164",""
"346","ENSG00000135968","ENSG00000137965","","ENSG00000165119","ENSG00000166333","ENSG00000165801","ENSG00000135636","ENSG00000160298","ENSG00000100462","ENSG00000138193","ENSG00000143390",""
"347","ENSG00000136044","ENSG00000138095","","ENSG00000165280","ENSG00000166444","ENSG00000165821","ENSG00000135722","ENSG00000160299","ENSG00000100505","ENSG00000138311","ENSG00000143401",""
"348","ENSG00000136147","ENSG00000138101","","ENSG00000165417","ENSG00000166592","ENSG00000166090","ENSG00000135736","ENSG00000160307","ENSG00000100526","ENSG00000138386","ENSG00000143507",""
"349","ENSG00000136152","ENSG00000138119","","ENSG00000165495","ENSG00000166888","ENSG00000166347","ENSG00000135821","ENSG00000160392","ENSG00000100567","ENSG00000138411","ENSG00000143815",""
"350","ENSG00000136271","ENSG00000138166","","ENSG00000165678","ENSG00000166923","ENSG00000166444","ENSG00000135824","ENSG00000160752","ENSG00000100577","ENSG00000138449","ENSG00000143858",""
"351","ENSG00000136295","ENSG00000138185","","ENSG00000165804","ENSG00000167182","ENSG00000166592","ENSG00000135829","ENSG00000160957","ENSG00000100596","ENSG00000138768","ENSG00000143952",""
"352","ENSG00000136404","ENSG00000138379","","ENSG00000166326","ENSG00000167491","ENSG00000166598","ENSG00000136169","ENSG00000160959","ENSG00000100614","ENSG00000139112","ENSG00000144278",""
"353","ENSG00000136504","ENSG00000138413","","ENSG00000166394","ENSG00000167528","ENSG00000166710","ENSG00000136261","ENSG00000161642","ENSG00000100644","ENSG00000139132","ENSG00000144366",""
"354","ENSG00000136573","ENSG00000138430","","ENSG00000166888","ENSG00000167535","ENSG00000166819","ENSG00000136267","ENSG00000161960","ENSG00000100664","ENSG00000139278","ENSG00000144619",""
"355","ENSG00000136643","ENSG00000138449","","ENSG00000167081","ENSG00000167676","ENSG00000166888","ENSG00000136447","ENSG00000162032","ENSG00000100714","ENSG00000139610","ENSG00000144815",""
"356","ENSG00000136731","ENSG00000138496","","ENSG00000167491","ENSG00000167703","ENSG00000166925","ENSG00000136504","ENSG00000162341","ENSG00000100722","ENSG00000139737","ENSG00000145217",""
"357","ENSG00000136827","ENSG00000138641","","ENSG00000167553","ENSG00000167723","ENSG00000167081","ENSG00000136541","ENSG00000162374","ENSG00000100749","ENSG00000140263","ENSG00000145358",""
"358","ENSG00000136877","ENSG00000138688","","ENSG00000167595","ENSG00000167771","ENSG00000167207","ENSG00000136573","ENSG00000162687","ENSG00000100784","ENSG00000140280","ENSG00000145723",""
"359","ENSG00000136950","ENSG00000138735","","ENSG00000167716","ENSG00000168010","ENSG00000167548","ENSG00000136715","ENSG00000162733","ENSG00000100814","ENSG00000140350","ENSG00000145725",""
"360","ENSG00000137100","ENSG00000138750","","ENSG00000167772","ENSG00000168067","ENSG00000167723","ENSG00000136826","ENSG00000162775","ENSG00000100829","ENSG00000140443","ENSG00000145907",""
"361","ENSG00000137275","ENSG00000138760","","ENSG00000167994","ENSG00000168137","ENSG00000167791","ENSG00000136854","ENSG00000162929","ENSG00000100836","ENSG00000140660","ENSG00000146021",""
"362","ENSG00000137420","ENSG00000138835","","ENSG00000168000","ENSG00000168283","ENSG00000168010","ENSG00000136870","ENSG00000162981","ENSG00000100889","ENSG00000141161","ENSG00000146376",""
"363","ENSG00000137494","ENSG00000139163","","ENSG00000168137","ENSG00000168497","ENSG00000168081","ENSG00000136872","ENSG00000162989","ENSG00000100897","ENSG00000141441","ENSG00000146469",""
"364","ENSG00000137822","ENSG00000139192","","ENSG00000168256","ENSG00000168556","ENSG00000168243","ENSG00000136897","ENSG00000163050","ENSG00000100908","ENSG00000142599","ENSG00000146555",""
"365","ENSG00000137845","ENSG00000139193","","ENSG00000168259","ENSG00000168952","ENSG00000168309","ENSG00000137168","ENSG00000163435","ENSG00000100911","ENSG00000142619","ENSG00000147010",""
"366","ENSG00000138231","ENSG00000139220","","ENSG00000168476","ENSG00000169218","ENSG00000168497","ENSG00000137337","ENSG00000163623","ENSG00000100918","ENSG00000142627","ENSG00000147044",""
"367","ENSG00000138376","ENSG00000139597","","ENSG00000168477","ENSG00000169231","ENSG00000168621","ENSG00000137413","ENSG00000163832","ENSG00000100941","ENSG00000142657","ENSG00000147099",""
"368","ENSG00000138495","ENSG00000139626","","ENSG00000168621","ENSG00000169245","ENSG00000168748","ENSG00000137478","ENSG00000164032","ENSG00000100968","ENSG00000142687","ENSG00000148180",""
"369","ENSG00000138668","ENSG00000139899","","ENSG00000168685","ENSG00000169291","ENSG00000168916","ENSG00000137497","ENSG00000164045","ENSG00000100997","ENSG00000142765","ENSG00000148700",""
"370","ENSG00000138674","ENSG00000140030","","ENSG00000168702","ENSG00000169375","ENSG00000169057","ENSG00000138030","ENSG00000164104","ENSG00000101003","ENSG00000142798","ENSG00000148702",""
"371","ENSG00000139163","ENSG00000140105","","ENSG00000168710","ENSG00000169436","ENSG00000169180","ENSG00000138032","ENSG00000164125","ENSG00000101017","ENSG00000142949","ENSG00000148848",""
"372","ENSG00000139318","ENSG00000140379","","ENSG00000168748","ENSG00000169439","ENSG00000169218","ENSG00000138035","ENSG00000164190","ENSG00000101040","ENSG00000143013","ENSG00000149397",""
"373","ENSG00000139579","ENSG00000140853","","ENSG00000169181","ENSG00000169621","ENSG00000169245","ENSG00000138131","ENSG00000164211","ENSG00000101084","ENSG00000143153","ENSG00000149489",""
"374","ENSG00000139618","ENSG00000141367","","ENSG00000169271","ENSG00000169758","ENSG00000169306","ENSG00000138162","ENSG00000164508","ENSG00000101115","ENSG00000143401","ENSG00000149499",""
"375","ENSG00000139668","ENSG00000141434","","ENSG00000169605","ENSG00000169783","ENSG00000169375","ENSG00000138175","ENSG00000165280","ENSG00000101138","ENSG00000143507","ENSG00000149925",""
"376","ENSG00000139915","ENSG00000141448","","ENSG00000170027","ENSG00000169884","ENSG00000169621","ENSG00000138674","ENSG00000165494","ENSG00000101220","ENSG00000143545","ENSG00000150394",""
"377","ENSG00000140105","ENSG00000141582","","ENSG00000170185","ENSG00000169992","ENSG00000169758","ENSG00000138755","ENSG00000165792","ENSG00000101224","ENSG00000143748","ENSG00000150764",""
"378","ENSG00000140259","ENSG00000141720","","ENSG00000170458","ENSG00000170035","ENSG00000169884","ENSG00000138757","ENSG00000166118","ENSG00000101265","ENSG00000143845","ENSG00000150991",""
"379","ENSG00000140265","ENSG00000141748","","ENSG00000170558","ENSG00000170142","ENSG00000170608","ENSG00000139329","ENSG00000166710","ENSG00000101290","ENSG00000143858","ENSG00000151176",""
"380","ENSG00000140319","ENSG00000142611","","ENSG00000170634","ENSG00000170608","ENSG00000170689","ENSG00000139351","ENSG00000166963","ENSG00000101310","ENSG00000143995","ENSG00000151474",""
"381","ENSG00000140382","ENSG00000142677","","ENSG00000170989","ENSG00000170689","ENSG00000171236","ENSG00000139428","ENSG00000167130","ENSG00000101361","ENSG00000144040","ENSG00000151914",""
"382","ENSG00000140455","ENSG00000142949","","ENSG00000171055","ENSG00000170776","ENSG00000171533","ENSG00000139546","ENSG00000167182","ENSG00000101367","ENSG00000144366","ENSG00000151917",""
"383","ENSG00000140497","ENSG00000143013","","ENSG00000171206","ENSG00000170852","ENSG00000171540","ENSG00000139579","ENSG00000167208","ENSG00000101417","ENSG00000144535","ENSG00000151923",""
"384","ENSG00000140527","ENSG00000143033","","ENSG00000171227","ENSG00000171365","ENSG00000171703","ENSG00000139620","ENSG00000167333","ENSG00000101447","ENSG00000144591","ENSG00000151929",""
"385","ENSG00000140575","ENSG00000143079","","ENSG00000171471","ENSG00000171680","ENSG00000171723","ENSG00000139625","ENSG00000167553","ENSG00000101473","ENSG00000144791","ENSG00000152061",""
"386","ENSG00000140650","ENSG00000143178","","ENSG00000171532","ENSG00000171723","ENSG00000171992","ENSG00000139644","ENSG00000167657","ENSG00000101544","ENSG00000145217","ENSG00000152284",""
"387","ENSG00000140688","ENSG00000143341","","ENSG00000171608","ENSG00000171735","ENSG00000172197","ENSG00000139725","ENSG00000167703","ENSG00000101638","ENSG00000145358","ENSG00000152818",""
"388","ENSG00000140992","ENSG00000143537","","ENSG00000171862","ENSG00000171877","ENSG00000173376","ENSG00000140105","ENSG00000167767","ENSG00000101670","ENSG00000145416","ENSG00000153060",""
"389","ENSG00000141030","ENSG00000143603","","ENSG00000171940","ENSG00000171992","ENSG00000173432","ENSG00000140299","ENSG00000167842","ENSG00000101745","ENSG00000145675","ENSG00000153130",""
"390","ENSG00000141252","ENSG00000143952","","ENSG00000171951","ENSG00000172367","ENSG00000173894","ENSG00000140320","ENSG00000167941","ENSG00000101746","ENSG00000145835","ENSG00000153815",""
"391","ENSG00000141644","ENSG00000143995","","ENSG00000171992","ENSG00000172548","ENSG00000174485","ENSG00000140332","ENSG00000167995","ENSG00000101812","ENSG00000146166","ENSG00000153956",""
"392","ENSG00000142002","ENSG00000144040","","ENSG00000172215","ENSG00000172602","ENSG00000174514","ENSG00000140471","ENSG00000168066","ENSG00000101843","ENSG00000146592","ENSG00000154162",""
"393","ENSG00000142409","ENSG00000144320","","ENSG00000172264","ENSG00000172789","ENSG00000174749","ENSG00000140488","ENSG00000168137","ENSG00000101844","ENSG00000146648","ENSG00000154174",""
"394","ENSG00000142528","ENSG00000144619","","ENSG00000172995","ENSG00000173171","ENSG00000175115","ENSG00000140682","ENSG00000168242","ENSG00000101868","ENSG00000147010","ENSG00000154474",""
"395","ENSG00000142867","ENSG00000144837","","ENSG00000173077","ENSG00000173207","ENSG00000176009","ENSG00000140829","ENSG00000168411","ENSG00000101871","ENSG00000147065","ENSG00000155008",""
"396","ENSG00000143079","ENSG00000144868","","ENSG00000173267","ENSG00000173327","ENSG00000176697","ENSG00000140830","ENSG00000168488","ENSG00000101892","ENSG00000147099","ENSG00000155962",""
"397","ENSG00000143384","ENSG00000145416","","ENSG00000173269","ENSG00000173334","ENSG00000176716","ENSG00000140854","ENSG00000168542","ENSG00000101901","ENSG00000147434","ENSG00000156030",""
"398","ENSG00000143457","ENSG00000145779","","ENSG00000173585","ENSG00000173456","ENSG00000177791","ENSG00000141141","ENSG00000168795","ENSG00000101938","ENSG00000148356","ENSG00000156113",""
"399","ENSG00000143499","ENSG00000145819","","ENSG00000173692","ENSG00000173486","ENSG00000177875","ENSG00000141376","ENSG00000168876","ENSG00000101997","ENSG00000148702","ENSG00000156265",""
"400","ENSG00000143631","ENSG00000145850","","ENSG00000174165","ENSG00000173894","ENSG00000178096","ENSG00000141504","ENSG00000169047","ENSG00000102001","ENSG00000149397","ENSG00000156273",""
"401","ENSG00000143971","ENSG00000145888","","ENSG00000174611","ENSG00000174500","ENSG00000178860","ENSG00000142615","ENSG00000169221","ENSG00000102057","ENSG00000149489","ENSG00000156515",""
"402","ENSG00000143995","ENSG00000146021","","ENSG00000174740","ENSG00000174611","ENSG00000179331","ENSG00000143171","ENSG00000169223","ENSG00000102096","ENSG00000149499","ENSG00000157131",""
"403","ENSG00000144381","ENSG00000146350","","ENSG00000174851","ENSG00000175130","ENSG00000179344","ENSG00000143194","ENSG00000169245","ENSG00000102103","ENSG00000149571","ENSG00000157168",""
"404","ENSG00000144559","ENSG00000146352","","ENSG00000175779","ENSG00000175727","ENSG00000179776","ENSG00000143199","ENSG00000169375","ENSG00000102144","ENSG00000149925","ENSG00000157193",""
"405","ENSG00000144597","ENSG00000146386","","ENSG00000175899","ENSG00000175868","ENSG00000179796","ENSG00000143258","ENSG00000169519","ENSG00000102174","ENSG00000150086","ENSG00000157978",""
"406","ENSG00000144713","ENSG00000146592","","ENSG00000176171","ENSG00000175898","ENSG00000179820","ENSG00000143341","ENSG00000169554","ENSG00000102189","ENSG00000150394","ENSG00000158019",""
"407","ENSG00000144840","ENSG00000146872","","ENSG00000176463","ENSG00000176678","ENSG00000180806","ENSG00000143390","ENSG00000169607","ENSG00000102195","ENSG00000150510","ENSG00000158055",""
"408","ENSG00000144895","ENSG00000147010","","ENSG00000176771","ENSG00000177105","ENSG00000180818","ENSG00000143420","ENSG00000169627","ENSG00000102218","ENSG00000150526","ENSG00000158859",""
"409","ENSG00000145868","ENSG00000147044","","ENSG00000177337","ENSG00000177106","ENSG00000180964","ENSG00000143457","ENSG00000170312","ENSG00000102230","ENSG00000150938","ENSG00000158864",""
