Gene,Adult.CD14+.DC,Adult.cDC1,Adult.cDC2,Fetal.CD14+.DC,Fetal.cDC1,Fetal.cDC2
AACSL,-1.3400166653,-0.4570426399,-1.229733418,1.0719768454,0.4570426399,0.5302880016
AAK1,1.4731470001,0.5076629559,1.5210577701,-0.5076629559,-0.541499054,-0.5548542823
AAMP,1.2260903213,1.3411146009,0.6505077591,-0.6988494743,-0.6505077591,-0.754984725
AASS,1.6098105555,0.105191195,1.6781620162,-0.105191195,-0.3408414341,-0.6061131586
ABCA2,-0.5806834585,-0.2148154615,-0.808704841,0.2148154615,1.4360593116,1.5011845139
ABCA3,0.0777670712,2.1561607153,0.7620756912,-0.4718180928,-0.0777670712,-0.4482640168
ABCA5,1.0696326037,0.1454155373,1.9536840345,-0.634045174,-0.4622034327,-0.1454155373
ABCA6,2.3427898152,0.0993715792,0.7540927813,-0.2206753539,-0.0993715792,-0.2213110327
ABCA7,0.0600132153,1.2649597515,1.7638954493,-0.8477199478,-0.3492824051,-0.0600132153
ABCA9,1.6670999626,0.2178642282,1.2215230597,-0.2178642282,-0.935028977,-0.4013086422
ABCB7,-1.1323792096,-0.3578791041,-0.8737371558,0.3578791041,1.117725258,1.2108535793
ABCC6,0.8260392872,0.5104422484,1.590073106,-0.8161334611,-0.8362758387,-0.5104422484
ABCC6P1,0.4276745368,0.1303176132,1.1098563778,-1.3531225388,-1.4027885518,-0.1303176132
ABCD4,1.1850305777,0.355127514,1.3111611821,-0.7270927728,-1.0835136199,-0.355127514
ABHD12,0.9498743818,0.3692074482,1.3871474471,-0.3692074482,-1.2971797386,-0.5141213654
ABHD3,-1.3439331198,0.0586613408,-1.2659459157,-0.0586613408,1.2647767064,0.3758444878
ABHD4,1.8571893352,0.2366087458,1.3547156061,-0.2366087458,-0.5144486498,-0.4367603557
ABHD5,-0.457392668,-1.30061187,-0.9629688159,1.0327963809,0.9533337081,0.457392668
ABHD8,0.6152228169,0.3769835608,1.0558972555,-1.4948663438,-0.3769835608,-1.0568681218
ABR,1.6836104453,0.0576538896,1.9238176483,-0.0576538896,-0.2237106785,-0.2381963995
ABTB1,1.9979670307,0.0554146423,1.0487669297,-0.0554146423,-0.5927857943,-0.4610831076
ACADM,-0.8349305093,-0.6849141,-0.5437481417,0.5437481417,1.1884841515,1.4244693385
ACADVL,1.1518786941,0.5551809092,1.3984091072,-0.5551809092,-0.6776667342,-0.8950987962
ACAT2,-0.6654773779,-0.299084555,-0.9931216154,1.1698641812,0.299084555,1.4787566304
ACBD5,0.8474790979,-0.0218126337,1.4970989912,0.0218126337,-0.7595037245,-1.2186290108
ACCN3,-0.1751681654,-1.517477573,-1.3838326451,1.0666517909,0.1877028098,0.1751681654
ACD,0.6334636022,1.3112401299,0.2894400625,-0.7644580062,-1.4631349078,-0.2894400625
ACER2,-0.9667635932,-0.998786272,-0.5508262849,1.0999200107,1.1234914396,0.5508262849
ACOT2,0.8601199467,1.6247438017,0.604221141,-0.6766105298,-0.604221141,-0.7801316542
ACP5,2.0964031641,-0.1567513462,0.9382915436,-0.0911294411,-0.6924969162,0.0911294411
ACPL2,0.5107908091,1.7443628719,0.7113361399,-0.7556272992,-0.5107908091,-0.7200577585
ACSL4,0.5615659354,1.2167410545,1.1511840666,-0.8412951486,-0.954172067,-0.5615659354
ACSM2B,-1.3513501718,-0.5829586486,-0.8121369072,1.1894425734,0.6604690814,0.5829586486
ACSM3,0.8335852964,0.655959929,0.6041167456,-1.3014840126,-1.2851806253,-0.6041167456
ACTBL2,1.0881423268,0.6501962436,0.450023451,-0.450023451,-0.9137027642,-1.4925290861
ACTG1,-1.7115839823,0.0188304196,-0.8781578723,-0.0188304196,1.0539686609,0.5824383756
ACTN4,0.1374676413,0.6613685958,1.2724153905,-1.3842899667,-1.0125374606,-0.1374676413
ACTR1B,1.3125062246,0.3230983713,1.2044274752,-0.3550953002,-1.2740366567,-0.3230983713
ADAM15,-0.1828336585,-0.7435017203,-0.7547117448,0.1828336585,1.7995499306,0.9020795248
ADAM19,0.4709113122,0.9195139406,0.7882667536,-1.6105336771,-0.7533538432,-0.4709113122
ADAM33,1.5367212285,0.0216837574,1.1708119793,-0.0216837574,-0.8120254067,-0.8823031368
ADAM8,0.9485562549,0.4977330015,1.258472339,-1.3280331025,-0.5272230763,-0.4977330015
ADAMTS14,2.2046744653,-0.285178558,1.195323368,0.1580039735,-0.1580039735,-0.1668019713
ADAMTS2,-0.5426311766,-1.2971844478,-0.3525630174,1.3287446671,1.0261149447,0.3525630174
ADAMTS4,1.7389402567,-0.2262011466,1.2637907041,-0.8506430115,0.2262011466,-0.3279666645
ADAMTSL3,-0.8916114558,-0.7999265674,-0.7791751339,1.0397162645,1.1447277063,0.7791751339
ADAR,0.7187424818,1.0570354318,0.4939505918,-0.6922437901,-1.5610621392,-0.4939505918
ADARB1,1.2756889333,0.2599307638,1.4964324576,-0.8011641128,-0.7719561632,-0.2599307638
ADCK5,1.1313252876,0.3361998503,0.7100411065,-0.3361998503,-1.4274877955,-1.0052068543
ADCY3,-1.1483546389,-0.4592764939,-1.0216280756,0.4592764939,1.2428771149,0.8202722759
ADCY6,0.3932292642,0.3265666847,2.1037932668,-0.6167765234,-0.4235392681,-0.3265666847
ADCY7,-0.5875276679,-0.1739816692,-0.4886495583,0.1739816692,1.9883358961,1.0083280895
ADCY9,0.4258340864,1.6283787538,0.9954085468,-0.7750056417,-0.4258340864,-0.7675246893
ADD3,-1.2302883973,-0.6426619741,-0.5190441509,0.6889986411,1.4389870608,0.5190441509
ADIPOQ,-0.7506185688,-0.5580380349,-1.0035083018,1.1490064466,1.2470760373,0.5580380349
ADNP,-1.5483629826,0.0133203554,-0.5483303431,-0.0133203554,1.0038775794,1.1375917543
ADNP2,-0.613308738,-0.7682837053,-0.8991919311,1.4505924648,0.613308738,0.9078886071
ADRM1,0.592379974,0.7547870005,1.1782166756,-0.8307567612,-1.2867759504,-0.592379974
AES,0.6465292255,1.1866475605,1.047339097,-1.1014545009,-0.6465292255,-0.6914949438
AFMID,0.424866147,1.5219318605,0.8750547982,-0.8041773457,-0.424866147,-0.9857481272
AGA,-0.8648401631,-0.5391330969,-1.2821534599,0.5391330969,0.8305306399,1.1581034011
AGAP7,-0.4516314055,-0.4552468957,-0.9517211698,0.4516314055,1.3206952955,1.426194549
AGC1,-1.2577034566,-0.4682465107,-1.6772950178,0.5114754359,0.6534199079,0.4682465107
AGER,0.5316649735,0.8540275853,1.7840966311,-0.5439646221,-0.7319091523,-0.5316649735
AGFG2,-1.0122485672,-0.6261170686,-0.8493737971,0.7612431366,1.3796294772,0.6261170686
AGR2,-0.360435834,-0.3473278181,-0.3821139519,2.2009558581,0.3473278181,0.5687761645
AGRN,0.584522944,1.2106066795,1.3819922436,-0.584522944,-0.7886037284,-0.7181886277
AGTPBP1,-0.5837170095,-0.7884775644,-0.9850981117,1.1651076898,0.5837170095,1.1942111755
AGTR1,-0.3187460512,-0.4946912308,-0.510501347,1.5064662594,1.677195575,0.3187460512
AHCTF1,-2.0044012735,-0.1333147986,-1.4080637744,0.1333147986,0.4531810285,0.1906665056
AHRR,1.9069110646,-0.0055494695,1.846241014,-0.1255025079,-0.1024121989,0.0055494695
AHSA1,-0.5985797521,-0.5915090777,-0.9738460422,0.5915090777,1.2606994596,1.2446964566
AIF1,-0.5372182539,-1.1668293123,-1.056462322,1.2816117566,0.570621191,0.5372182539
AIFM1,-0.6487630229,-1.4110003576,-0.7745806622,0.6487630229,0.884531808,0.9008923029
AIFM2,1.4660706402,1.1284378381,0.5287632213,-0.6956535238,-0.5287632213,-0.8475578342
AIPL1,0.973896919,0.4475518888,0.2801628574,-1.5082980577,-0.2801628574,-1.3231042053
AJAP1,1.0621928005,0.4958721074,0.891440252,-1.5160385541,-0.4958721074,-0.5371992731
AK1,0.8845881956,0.5722032043,1.6761487167,-0.5928914631,-0.5722032043,-0.7944506298
AKAP4,1.2687771793,0.6151135937,0.6383822112,-1.2243339082,-0.8555234667,-0.6151135937
AKAP7,-0.5856898855,-1.0505972574,-0.7772081787,1.3192105049,0.9475921993,0.5856898855
AKAP9,-0.8210175061,-0.2866065158,-0.8059339615,0.2866065158,1.2473889842,1.4674403622
AKR1C3,1.8875359054,0.4082036016,0.7564709505,-0.4082036016,-0.4593934475,-0.8000887274
AKT1,0.8633785728,0.9303744635,0.9343952207,-0.8633785728,-0.9648301483,-0.9163030184
AKT3,0.5103651325,0.9157007125,0.8218477996,-1.0096156986,-0.5103651325,-1.423527827
ALAS2,-0.520601586,-0.4995100403,-0.6640538127,1.7329011728,1.1173122966,0.4995100403
ALDH7A1,-0.6470174145,-0.5853571348,-1.4866934834,0.9111418204,0.5853571348,0.9325574386
ALG3,-0.9024185206,-1.1414553014,-0.1809767646,0.1809767646,1.6412868499,0.3518826431
ALK,-1.5149538143,-1.098034825,-0.1522641002,0.74299399,0.1522641002,1.0117290433
ALKBH6,0.4003693772,0.3269569676,1.1845727894,-0.3269569676,-1.3416802759,-1.2633320384
ALLC,0.9648112818,0.5084674169,1.1980275251,-0.6595003453,-0.5084674169,-1.2995281503
ALOX15,-0.2544311544,1.1534285423,1.432137209,-0.9731569112,0.2544311544,-0.8064398063
ALOX15B,1.4569953733,-0.2254143949,1.8166810176,-0.0438987965,-0.6774601569,0.0438987965
ALS2CL,1.1196572774,-0.0987093057,2.3654972627,0.0059372806,-0.0448565201,-0.0059372806
AMAC1,0.7317838892,0.7129157942,0.9472979049,-0.7129157942,-1.3329258982,-0.9092745124
AMAC1L3,0.0395699679,1.4351171868,1.0347628525,-1.2003557431,-0.6935490418,-0.0395699679
AMOT,-0.9500381177,-0.8180134982,-0.4852672067,0.4852672067,1.4847440399,0.9039012824
AMY1A,-1.737848124,0.5425741965,-0.8494348962,-0.3554342807,0.9537572961,0.3554342807
AMY1C,-1.6229347391,0.1974847329,-0.6132147969,-0.1974847329,1.3392924325,0.3994718939
ANAPC11,1.2187468326,0.5516318502,1.0094438334,-0.5516318502,-1.0207009296,-0.9265053818
ANAPC13,-0.5791967618,-1.5048629445,-0.8500794902,0.5791967618,0.8811566399,0.8005710059
ANAPC2,1.9257741329,0.4045169564,1.0341456725,-0.4045169564,-0.4796124882,-0.5402930241
ANGPTL4,1.9970351965,-0.144944534,1.3257003627,0.144944534,-0.1489762158,-0.5675992768
ANK3,0.2772134493,1.3801840369,1.8137708189,-0.4050510434,-0.2772134493,-0.5610561667
ANKHD1,-1.7485602471,-0.1352126713,-0.8422817749,0.1352126713,0.7824296488,0.8573704929
ANKRD26,-0.591031236,-0.4982752267,-0.9211540604,1.7536265155,0.587235761,0.4982752267
ANKRD28,1.5412103179,-0.3325013792,1.8980407529,-0.2253599619,-0.3212163842,0.2253599619
ANKRD40,-1.8075408905,-0.3077896746,-0.3625667051,0.3077896746,0.655024339,1.0123894075
ANKRD52,0.5383223378,0.246119887,1.2969316274,-1.5609161617,-0.7085094621,-0.246119887
ANKS1B,0.9282220008,0.4930331305,1.033073562,-0.9867660022,-0.4930331305,-1.2752916366
ANLN,-0.5535689645,-0.4062893699,-0.4506511438,0.4062893699,1.5120478872,1.6216794363
ANO5,1.3781890652,0.9042896966,0.6014024107,-1.105282946,-0.6014024107,-0.6236251647
ANO6,1.3250463969,0.4712550978,0.9628126873,-0.4930280305,-1.2930464178,-0.4712550978
ANP32B,-1.5654964155,-0.2754733988,-0.9877878729,0.2754733988,0.5005778674,1.1440136103
ANP32C,0.6900241843,0.8311167051,1.1880435938,-0.6900241843,-1.2013889942,-0.7100212593
ANPEP,1.5824973471,0.4845881268,0.2093070027,-0.8306750532,-0.2093070027,-1.2179054476
ANTXR1,-0.0440696258,-0.6145018476,-0.6100535816,0.980303177,1.9403027433,0.0440696258
ANXA7,1.4934923987,-0.0571335324,1.5413472586,-0.8635327432,0.0571335324,-0.4031822609
AOAH,-0.3981860931,-0.446262901,-0.6232251575,1.7140259932,0.3981860931,1.3490073639
AOC2,1.4254229707,0.5231151228,0.2692327679,-0.2692327679,-0.5248046906,-1.5084172562
AP1G2,-0.1389631979,0.6193756703,0.6973595208,-1.7556841704,0.1389631979,-1.2089768126
AP1S2,-1.3967005605,-0.185272954,-1.645747374,0.7707620766,0.185272954,0.4687845792
AP2A1,0.9175227299,0.0195934855,1.2115724912,-0.8185015404,-1.4218275992,-0.0195934855
AP2A2,1.1526212364,0.7797235385,0.2185779181,-0.2185779181,-1.3693936786,-1.0652484539
AP2M1,1.1043839155,0.3426468133,1.3617597596,-0.3426468133,-1.1660655381,-0.6362865362
AP3M1,1.5861436414,0.2669672255,1.2984399069,-0.5179139548,-0.8717233826,-0.2669672255
AP3S1,-1.4619744019,-0.2984527062,-1.3391384407,0.8480232914,0.6686040526,0.2984527062
APBA3,0.7476804071,-0.0281921922,0.745268904,0.0281921922,-1.813899151,-0.9227913656
APCS,0.9383652203,0.5091154798,0.8629172185,-0.5091154798,-1.3445205215,-1.0525558127
APEX1,-1.0208264214,-0.4432108123,-1.1276800835,0.4432108123,0.5088376044,1.4289383876
APH1B,1.5122593572,-0.2811686939,0.6616663038,0.2811686939,-1.3536025069,-0.5454455711
APIP,-0.5534254954,-0.8513278824,-0.4523250587,1.8013500255,0.7240155428,0.4523250587
APOA5,-0.3426465323,-1.4027524474,-0.6692480883,1.129058153,1.037446611,0.3426465323
APOL1,0.0167212868,1.6572295731,-0.0167212868,-1.20384612,0.0211849259,-0.9140737494
APOL2,0.0469804882,1.8424899224,0.4745322185,-0.6981346365,-0.0469804882,-0.9780995011
APP,1.8366453937,0.3164366952,0.7218375617,-0.3164366952,-0.5360626829,-0.9082657709
AQP1,1.2315701597,0.2700889837,0.9750675425,-0.7075930497,-0.2700889837,-1.3742237435
AQP12A,1.7936503173,-0.3244687965,1.2792092716,0.1670581188,-0.7902064954,-0.1670581188
AQP7P2,-0.3480188191,-1.2910348273,-1.4252337748,0.3480188191,0.7861644819,0.8073153507
ARAF,0.4896642539,0.3109201711,1.2384013398,-0.7043848864,-1.6107554298,-0.3109201711
ARF1,-0.4162266959,-1.0046762397,-1.44304125,1.2129680721,0.4418734267,0.4162266959
ARF5,0.1957015335,1.9080457885,1.4827154444,-0.2840030999,-0.1957015335,-0.4373548246
ARFGAP1,1.2048692097,0.5948734606,0.841594372,-0.5948734606,-1.2073434904,-0.8213613641
ARHGAP15,-0.7565057834,-0.3643068577,-1.1390577433,0.5282612068,0.3643068577,1.6111033714
ARHGAP17,-1.0822036952,-0.0601046735,-1.4512862834,0.949280579,0.9399103194,0.0601046735
ARHGAP21,-0.6530085591,-1.3217706327,-0.7218787292,0.9257241582,1.0118707974,0.6530085591
ARHGAP8,-0.873443677,-0.7099545511,-0.2745629366,1.6050198896,1.1032123446,0.2745629366
ARHGDIA,0.8402892027,1.295441162,0.4638327931,-0.4638327931,-1.050636925,-1.0401744419
ARHGDIB,-0.5981548949,-0.9219325243,-1.6303245503,0.7477107335,0.66009605,0.5981548949
ARHGEF10,1.8336488047,-0.0899251841,1.1849101469,-0.6608771075,-0.5633671696,0.0899251841
ARHGEF10L,2.1359732074,-0.2941761509,0.5454977528,0.1948863044,-0.6804970005,-0.1948863044
ARHGEF11,1.8917614351,-0.4391401997,0.4494730899,0.1638114472,-1.0463085861,-0.1638114472
ARHGEF12,0.4151523327,0.5535852424,0.078225409,-1.9955370028,-0.078225409,-1.1461992816
ARHGEF2,0.4519514578,0.1406305261,0.9130269394,-0.1406305261,-1.8815318181,-0.8264466075
ARID4B,-1.1978393619,-0.3018273496,-1.717615489,0.7207634897,0.3018273496,0.5867005082
ARL17B,0.3160435899,1.2767609079,1.3790463692,-1.0675834328,-0.5539759314,-0.3160435899
ARL2,1.0907079361,0.6800364953,0.9466437925,-1.0241192837,-0.9699558215,-0.6800364953
ARL4C,0.7486605925,-0.0111479986,1.0082153991,-1.7831956241,-0.5453887802,0.0111479986
ARL5A,-0.9525487536,-0.3336608355,-1.0416532663,0.3336608355,1.1301022835,1.2373514203
ARL5B,-1.7589204921,-0.0980048666,-1.6194276686,0.0980048666,0.1174778368,0.6334215945
ARL6IP1,0.5092743054,1.8683796979,0.5351527054,-0.6389541541,-0.6969604107,-0.5092743054
ARL6IP4,1.3710331465,-0.235859847,1.8546791084,0.235859847,-0.4862656964,-0.4522904379
ARMCX1,-0.1966773698,-1.1550925139,-1.1110980655,0.1966773698,0.5984743376,1.4164084163
ARMCX3,-0.6577488522,-0.5729358368,-0.8305395808,0.9301760695,1.5918316187,0.5729358368
ARNTL2,0.3283600622,1.4322628986,1.6847180311,-0.6065232022,-0.4699064109,-0.3283600622
ARPC1B,-0.1902904569,-0.8599546958,-1.2340456025,0.1902904569,0.966520185,1.317981662
ARPC2,0.8775039779,0.7661658305,1.0198951822,-1.1397843428,-0.847357282,-0.7661658305
ARPC4,1.1145490438,0.5963106582,1.1755262349,-0.8582851395,-0.9808105881,-0.5963106582
ARPC5L,-1.3905242237,0.3336414237,-0.3960117365,-0.3336414237,1.5671423743,0.4935321605
ARRDC1,0.2894282313,2.0093555519,1.1485511054,-0.3973489605,-0.2894282313,-0.4530945801
ARRDC2,0.5183379809,0.0414108471,0.7376894218,-0.0414108471,-2.059357279,-0.4542487678
ARRDC4,1.6104139924,-0.1494927597,1.3514998953,0.1494927597,-0.8608841904,-0.481167815
ARS2,-0.3670662948,-0.4012548866,-0.1524103793,0.1524103793,1.9553949186,1.3946831834
ARSG,1.7888167254,-0.138399489,0.7426164816,-0.6511856216,-0.9626230179,0.138399489
ARVP6125,1.3768032262,0.2999591443,1.6117967286,-0.2999591443,-0.6347161113,-0.6419833096
ASB6,0.4055182393,0.539944052,1.0791300376,-0.4055182393,-1.3883351763,-1.2019975095
ASCC3,-1.8223756432,-0.2837845598,-0.627862229,0.5402260458,0.2837845598,0.9868454153
ASMTL,0.5036742437,1.1249356252,1.6199904427,-0.6224646925,-0.7328917486,-0.5036742437
ASPM,-0.6691309972,0.0085828511,-0.5927565075,-0.0085828511,1.5832388205,1.4987447753
ATAD3C,-1.4129378537,-1.0114454665,-0.420222809,0.6126190465,1.1510298988,0.420222809
ATF7IP2,-1.897816351,-0.2714707262,-0.2173246782,0.7178688562,0.8773416315,0.2173246782
ATG10,0.1191148239,1.824342916,1.1188395853,-0.2947850394,-0.9017524459,-0.1191148239
ATG3,-0.1840422667,2.0701219551,0.3123770345,-0.664524525,0.1840422667,-0.5715883512
ATG7,1.4849467274,-0.1870901371,0.5257775228,0.1870901371,-1.1262290154,-1.0895417974
ATIC,-0.862285665,-0.162685287,-0.0954497539,0.0954497539,1.2075388021,1.8564998987
ATL1,-0.4696507187,-1.0000851265,-0.5472818825,1.0496380699,1.5278357018,0.4696507187
ATN1,1.2528741904,0.0846606129,1.4133949864,-0.0846606129,-1.108971194,-0.5875427365
ATOX1,0.72489357,0.1429811606,1.2589995912,-0.1429811606,-1.2712302613,-1.1227484582
ATP10A,-0.3902284807,-0.419810774,-0.5326667859,0.3902284807,0.9490755067,1.9997374874
ATP1A3,0.6394747554,0.5981731335,1.667289722,-0.5981731335,-0.6780585772,-0.8573233014
ATP1B3,0.4488409066,1.302954022,1.3925261854,-0.9984314769,-0.4488409066,-0.465123499
ATP2C1,-0.4024200411,-1.5426959765,-1.0619328953,0.4574292466,0.4024200411,1.0731001649
ATP5A1,-0.7313207893,-0.2607463971,-0.7852697526,0.2607463971,1.018574131,1.7085962954
ATP5C1,-1.263792566,0.0409158634,-0.786556825,0.4328305132,-0.0409158634,1.6104268456
ATP5F1,-0.8527979354,-0.4724095927,-1.1171084181,0.4724095927,1.1666928642,1.1104140088
ATP5I,-0.4282730817,-1.3398015841,-0.7255773691,1.2895925598,0.8054384535,0.4282730817
ATP6V0B,1.3230162886,0.1154718643,0.3314793496,-0.1154718643,-1.7467883674,-0.2945364197
ATP6V0E1,0.6151181986,0.2674938661,1.6958275132,-0.6935756264,-0.2674938661,-1.0814413937
ATP6V1E1,1.4322819889,0.036622294,1.4968023158,-0.036622294,-0.9961559498,-0.3566917809
ATP6V1G1,-0.3246533449,-1.5216668477,-0.4048073044,1.1895113796,0.3246533449,0.9499935939
ATP7B,-1.538433456,-0.9894762806,-0.3353234718,0.3353234718,0.519023264,1.1345880345
ATPGD1,-0.6485214377,-1.0567776613,-0.8688461319,0.6485214377,1.149399248,0.986623844
ATPIF1,-0.8544417906,-0.5918694961,-0.7476175964,1.4000165454,1.0866208492,0.5918694961
ATXN1,0.309659936,0.4943685138,0.9678375429,-1.0349031267,-0.309659936,-1.67837777
ATXN2L,1.1859623205,0.2929142312,1.5896057881,-0.7255835089,-0.7945271833,-0.2929142312
ATXN7L3,0.5960166675,0.9340390035,0.6571518531,-1.0321143137,-1.4305870536,-0.5960166675
AURKAIP1,0.592118281,0.5809011431,0.7738948023,-1.5263047197,-1.1551556968,-0.5809011431
AXIN1,0.41412652,1.1435718703,1.0212993409,-0.41412652,-0.8584189582,-1.252910279
AXL,-0.2086861922,-1.9575862424,-0.4268989624,0.710371848,0.2086861922,0.7353641179
AYP1P1,0.8883889224,1.5942607039,0.573649575,-0.7396391328,-0.7853298199,-0.573649575
B2M,0.4279498992,1.290545747,1.4285305724,-0.6404188795,-0.4279498992,-0.8718415106
B3GAT3,1.0420769202,0.3618073395,1.5206610803,-1.1680933044,-0.38236186,-0.3618073395
B3GN-T6,-1.1307789383,-0.6450018404,-0.9943288075,1.0088552382,0.9422585757,0.6450018404
BAALC,2.4364956895,-0.0081908341,0.8479873658,0.0081908341,-0.0598076623,-0.0653335956
BAAT,1.4155670833,0.8449635707,0.437192324,-0.5436751897,-0.437192324,-1.2791706043
BACH1,-0.2439947716,-1.302072878,-0.8898006827,0.2439947716,0.3137608911,1.5220000665
BAG2,-1.3244565439,0.2509145119,-0.645641121,0.149825568,1.6498214308,-0.149825568
BAG3,-0.5767474475,-1.171068975,-1.2534084032,0.8314148348,0.8856841093,0.5767474475
BAHCC1,0.4750762902,1.2165162105,1.2491279398,-0.4750762902,-1.0005682086,-0.7670935792
BAMBI,-0.9358193557,-0.6574341194,-1.2657132803,0.6574341194,0.9722211779,0.8576593963
BARX1,1.2108583157,0.7340081313,0.5950165871,-0.7218310464,-0.5950165871,-1.3295928245
BARX2,1.2081356743,0.2873147434,0.8946667516,-0.2873147434,-0.3390552851,-1.5703987352
BASP1,0.4703453127,1.0346671163,0.8457156709,-0.6211343639,-0.4703453127,-1.5491876685
BAT3,1.2382829863,0.155497348,1.0906510498,-0.155497348,-1.290874728,-0.7585760362
BAZ1B,-1.9107689901,-1.0078092311,0.1274319679,-0.1274319679,0.3653237828,0.8180318223
BCAN,-0.7582707207,-0.6445537672,-1.0209284328,0.6445537672,1.4493152205,0.6874805289
BCAP31,1.6755196592,-0.1461582226,0.2918471832,0.1461582226,-1.1630429475,-0.8439952883
BCAS2,-1.0836090821,-0.3033817561,-0.6903443306,1.436758277,1.0937332328,0.3033817561
BCCIP,-0.7910815335,-0.6139295684,-0.9100929005,0.6139295684,1.3732311816,0.9895970396
BCL10,-0.4468774849,-1.3804558417,-0.9391516774,0.9515652444,0.9666020151,0.4468774849
BCL2L1,-1.003243882,-0.7252293862,-0.4932253613,1.4871346375,0.9198733629,0.4932253613
BCL2L14,0.9929479375,0.4181916574,0.98465397,-1.0612777564,-0.4181916574,-1.2602151075
BCL9L,0.0778125406,1.5292048106,1.6884760299,-0.5401019448,-0.5269233383,-0.0778125406
BCLAF1,-1.0740811679,-0.3791827668,-1.1776894656,0.3791827668,1.0713508875,1.0142232725
BCORL1,0.4598062268,0.4656390455,1.2413971133,-0.4598062268,-1.3414666824,-1.0474923526
BDH2,0.9185286009,1.2133377646,0.3960735617,-0.4684202939,-1.4687639127,-0.3960735617
BDKRB2,1.6638366805,1.0469741794,0.5640263688,-0.5640263688,-0.577127436,-0.7099352954
BDNF,0.7497159388,0.8174884848,1.3553872041,-0.8693428522,-0.8095678103,-0.7497159388
BEND3,-1.0864925003,-1.1144426101,-0.6209977034,0.6209977034,1.1608746969,0.691981578
BEST2,0.3941907111,0.6304045826,1.2697280496,-0.5088187172,-0.3941907111,-1.5573392993
BGN,-0.4148486758,-0.2348779468,-0.4933636225,0.9284759197,2.0860245402,0.2348779468
BIRC5,-0.671804165,-0.0945670669,-0.5473533449,0.0945670669,1.4766450629,1.625273967
BLOC1S3,1.4479635583,0.0335341617,1.2656502302,-0.0335341617,-0.3320692558,-1.1934322101
BLVRA,0.650920901,-0.3974991934,0.3974991934,0.5042174003,-1.2175026924,-1.7529971558
BMF,-0.0513318156,1.7660258611,1.27384491,-0.373703562,-0.8240743602,0.0513318156
BMP8B,0.7033395964,1.8746570235,0.3923844056,-0.7075059329,-0.3923844056,-0.6548192644
BNIP2,-0.4068868597,-0.7487790558,-0.8751940184,1.4833129501,0.4068868597,1.1445527249
BNIPL,0.3271793685,0.450274089,0.9454421562,-1.3458717454,-0.3271793685,-1.4914008088
BOLA2B,-0.299819268,-1.6112046767,-1.2440572242,0.5973234722,0.8162071486,0.299819268
BPY2B,-1.1155523387,-0.7377595624,-0.7578779032,0.7377595624,1.2186779611,0.781069186
BRI3,0.254464727,-0.7785093789,-1.3317080533,1.5789261632,-0.1942792284,0.1942792284
BRIX1,-0.8143864345,0.0865800803,-0.0865800803,-0.1322311875,1.7134215204,1.488762636
BRP44L,-0.4314271386,-1.132667891,-0.72042275,1.0355390919,0.4314271386,1.3413349264
BSX,-1.1905333604,-0.8062470134,-0.6858278012,0.6858278012,1.1956000561,0.7502330539
BTBD2,-0.5782231101,-0.8926633037,-0.4865700885,1.6465476591,0.4865700885,0.9453156638
BTBD7,-1.1145651532,-0.9092187464,-0.1915960039,1.3776071299,0.1915960039,0.9897044365
BTF3,-1.4948378263,-0.2356869105,-0.7266782138,0.2356869105,0.9217128645,1.1320070634
BTN3A1,0.4846081976,1.5131429759,0.4896729051,-1.2301454715,-0.4846081976,-0.6989818943
BTNL8,1.1640843695,0.1872481545,1.5362525278,-1.1696704034,-0.1872481545,-0.3088507394
BUB1,-0.3252779999,-0.1361592117,-0.1153385602,0.1153385602,1.8260297426,1.7777454833
BUB3,0.2656010569,1.9234971112,0.8245354712,-0.8603805535,-0.3586247001,-0.2656010569
BZW1,0.8407140284,0.0652071541,0.8001116125,-1.3492595619,-1.428031902,-0.0652071541
C10ORF116,1.8103492569,0.3169293389,0.8819286975,-0.3169293389,-0.3507203379,-0.9673162506
C10ORF129,1.2221771886,0.5185708075,0.3018003932,-0.3018003932,-1.4645213187,-0.9986832155
C10ORF28,1.2341004587,-0.0626402087,1.5772306384,0.0626402087,-1.1512103361,-0.1668629254
C10ORF30,0.9373483684,0.2662388653,0.0065313577,-0.0065313577,-1.3358152704,-1.6767197663
C10ORF32,-0.1480971115,-1.3718718913,-0.5398576741,1.4901086869,0.1480971115,0.7626360107
C10ORF35,1.0308168028,0.8265182102,0.9503578065,-0.8538749668,-0.9710502434,-0.8265182102
C10ORF4,1.7798411906,-0.2116364436,1.4798795651,-0.2584989793,0.2116364436,-0.6425846185
C10ORF55,1.5481907425,-0.1274589206,1.8750751344,-0.0178489175,0.0178489175,-0.562043466
C10ORF61,1.1182917952,0.4786623167,0.2896687505,-0.2896687505,-0.8723658761,-1.6539063947
C10ORF72,-1.3208273588,-0.8287879097,-0.4796077767,1.1934281746,0.4796077767,0.8288016356
C10ORF73,1.7189441781,-0.2729461866,1.5080286348,0.2729461866,-0.5084396942,-0.4612738826
C10ORF85,0.7650870905,0.8958360907,0.6463090207,-1.2990741815,-1.0844959413,-0.6463090207
C11ORF16,-0.6044832883,-1.591377494,-0.9811000192,0.6782063386,0.7338986494,0.6044832883
C11ORF20,-0.9860805683,0.0123024984,-1.2558001332,-0.0123024984,1.1832215066,1.0249316529
